Time (s),Depth,Sonic_Velocity,AC,R64,RD,Amplitude,Instantaneous_freq,Amplitude_abs,Amplitude_roll_mean,Amplitude_energy
1.796,1830.1109247649297,1989.8464399418117,153.17855094110075,36.66710924764946,13.224405329429432,2314.2432,34.39833068847656,2314.2432,-2103.857421875,5355721.5
1.8,1834.0362432446873,1990.5947751623908,153.12012405693892,31.899468377117163,14.090405131351483,5575.2227,34.68852615356445,5575.2227,-862.58125,31083108.0
1.804,1838.4159964329406,2194.321257847146,138.904,30.224439678963506,9.997913329575114,4838.871,34.043514251708984,4838.871,967.77421875,23414674.0
1.808,1842.1748966899404,1861.8902729896606,163.7062355880934,31.118301665320466,10.250360521144469,1051.9287,32.50072479248047,1051.9287,2251.1271484375,1106554.0
1.812,1845.731446583084,1583.5548256939137,192.47873610105478,33.644264033175396,10.155,-3050.5947,31.22665786743164,3050.5947,2145.9341796875,9306128.0
1.816,1849.2840265474372,1933.8874066789026,157.62240481999467,36.512224781358285,12.965815489759915,-4838.871,29.287242889404297,4838.871,715.311328125,23414674.0
1.82,1853.0376286723326,2062.758627879678,147.77232526888207,35.88562371327662,14.722000000000003,-3997.331,223.84988403320312,3997.331,-1199.1994140625,15978656.0
1.824,1857.6424587059682,2585.1666289906493,117.90350717509041,36.65106200950596,16.63480259850717,-1998.665,23.305667877197266,1998.665,-2566.706640625,3994662.0
1.828,1862.761150975204,2627.6768164419464,115.99600000000002,39.74733840596946,19.450999999999997,-315.5791,18.46567153930664,315.5791,-2840.208203125,99590.17
1.832,1868.0754062120923,2903.788944018978,104.96646457418618,31.874624074248256,12.002,736.3496,14.082682609558105,736.3496,-2082.8193359375,542210.75
1.836,1872.1545162665197,1750.6418741463451,174.10898201470638,32.54475192503851,10.82842230426105,1998.665,17.08164405822754,1998.665,-715.312109375,3994662.0
1.84,1875.7206215728354,1760.9867650625254,173.08492614006852,30.55492687582599,14.450999999999995,3260.9795,19.639802932739258,3260.9795,736.35,10633987.0
1.844,1879.7529265079893,2169.4258993010576,140.49800000000002,34.26547572220416,10.736999999999997,3997.329,23.482192993164062,3997.329,1935.548828125,15978640.0
1.848,1883.8702031862274,1706.9281094539558,178.56681505355084,30.301803624968382,9.50041318360595,2840.208,27.107147216796875,2840.208,2566.70625,8066781.5
1.852,1887.2619948591505,1660.8001046173292,183.526,29.430539126054754,4.500665262191942,0.0,27.658233642578125,0.0,2419.436328125,0.0
1.856,1890.6982196709762,1933.654340254649,157.62899999999996,30.24654013021694,4.722008756016315,-2840.209,28.118194580078125,2840.209,1451.6615234375,8066787.0
1.86,1894.449201201091,1686.4600554607089,180.7338207803182,31.855,4.115333333333334,-3892.1377,28.885751724243164,3892.1377,21.0380859375,15148736.0
