Time (s),Depth,RD,Amplitude,Instantaneous_freq,Amplitude_abs,Amplitude_roll_mean,Amplitude_energy
1.016,1209.7609268741194,16.899967677498598,7456.574,20.66895866394043,7456.574,5131.87734375,55600500.0
1.02,1216.6781438001713,21.08079633185625,4605.5312,22.20221519470215,4605.5312,5965.259375,21210918.0
1.024,1223.6323205325932,23.03213255500896,438.6211,24.858951568603516,438.6211,5395.05078125,192388.47
1.028,1230.5682528026055,22.004112253449303,-2851.045,28.110097885131836,2851.045,3552.837890625,8128457.0
1.032,1237.3439201443807,16.459593467166027,-3508.9766,35.16330337524414,3508.9766,1228.141015625,12312917.0
1.036,1243.883993311999,21.00836140447938,-1315.8672,204.11158752441406,1315.8672,-526.347265625,1731506.5
1.04,1250.4801939913352,19.789581974008264,2193.1094,43.87739181518555,2193.1094,-1008.831640625,4809728.5
1.044,1257.122397298684,17.73766572884486,5482.7734,33.21665573120117,5482.7734,-0.001171875,30060804.0
1.048,1263.858299930948,21.66193503797621,6360.0195,27.585803985595703,6360.0195,1842.21171875,40449850.0
1.052,1271.2158753565325,20.802375308033653,3508.9746,24.609699249267578,3508.9746,3245.801953125,12312903.0
1.056,1278.9569753075582,26.05069629525755,-2851.045,23.713096618652344,2851.045,2938.76640625,8128457.0
1.06,1286.7968697087756,19.26282993991552,-10746.238,24.038270950317383,10746.238,350.896875,115481640.0
1.064,1293.8770035450002,20.950456906583465,-15790.395,24.176668167114258,15790.395,-3903.73671875,249336560.0
1.068,1300.995965155842,22.279478677015213,-14693.836,226.14593505859375,14693.836,-8114.5078125,215908820.0
1.072,1308.5405456524347,33.52838195670314,-7675.8867,23.894941329956055,7675.8867,-10351.480078125,58919236.0
1.076,1315.809881101395,16.4231299750012,1315.8652,23.340913772583008,1315.8652,-9518.098046875,1731501.4
1.08,1322.6572459334577,22.40582621996399,7017.953,21.45307159423828,7017.953,-5965.259765625,49251668.0
1.084,1329.3642467959644,23.0887331745576,7895.1953,18.587757110595703,7895.1953,-1228.141796875,62334108.0
1.088,1336.357482316116,25.33357935524044,5921.3984,10.596668243408203,5921.3984,2894.905078125,35062960.0
1.092,1343.2088321219353,23.83425035637462,4824.84,0.7801142930984497,4824.84,5395.050390625,23279080.0
1.096,1350.182550780321,23.822510156063267,5263.465,3.093376398086548,5263.465,6184.5703125,27704062.0
1.1,1357.1292860306216,21.89603591990143,5921.3984,13.515563011169434,5921.3984,5965.259375,35062960.0
1.104,1364.1733994203837,24.163994631786625,4166.9062,20.895042419433594,4166.9062,5219.6015625,17363108.0
1.108,1371.1653028137678,24.740656270649616,877.2422,23.489347457885742,877.2422,4210.7703125,769553.9
1.112,1378.3555095310146,27.400207954615805,-657.9336,39.470619201660156,657.9336,3114.215625,432876.62
1.116,1385.6493419174583,27.477066950132357,2193.1094,126.94367218017578,2193.1094,2500.14453125,4809728.5
