Time (s),Depth,Sonic_Velocity,AC,PERM,PORT,RT,SW,Amplitude,Instantaneous_freq,Amplitude_abs,Amplitude_roll_mean,Amplitude_energy
1.004,2515.2495247911174,4814.95254108488,63.30299593475063,0.1,0.042971487467043344,56.38303611587508,100.0,-8819.645,23.766677856445312,8819.645,-5244.11328125,77786130.0
1.008,2525.0878158066025,4967.342536983227,61.36086777675466,0.1,0.0328528935378788,58.07096507773128,100.0,-4052.2695,22.806894302368164,4052.2695,-6435.957421875,16420888.0
1.012,2535.111137573115,5106.825264659648,59.684901030598276,0.1,0.08422275146228324,71.59159140149504,100.0,2145.3203,22.032453536987305,2145.3203,-5577.8296875,4602399.0
1.016,2545.2210445630617,4727.415029862446,64.47650358121165,0.1,0.07678955436937528,58.855430745065576,100.0,7866.172,22.588603973388672,7866.172,-2574.3828125,61876660.0
1.02,2555.057654623755,5003.251676962092,60.92053292948622,0.1,0.0,52.031916289620504,100.0,10726.598,22.424293518066406,10726.598,1573.23515625,115059896.0
1.024,2565.1632380020083,5098.879599057724,59.778298035087204,0.1,0.06626476004017903,59.991391720858374,100.0,10249.859,22.379655838012695,10249.859,5387.1359375,105059620.0
1.028,2575.0862212171896,4864.106351658797,62.663802142777094,0.1,0.008688939140543136,52.75857454391104,100.0,6435.957,23.74751853942871,6435.957,7484.78125,41421544.0
1.032,2585.0856260918667,5045.577617826262,60.409676633033236,0.1,0.077856260918662,76.87146984210693,100.0,476.73828,24.5131893157959,476.73828,7151.06484375,227279.39
1.036,2595.0129728223205,4855.199676739454,62.77871198733127,0.1,0.0,57.84683527524198,100.0,-5482.4805,25.509906768798828,5482.4805,4481.334375,30057592.0
1.04,2605.0012993168393,4914.892813167585,62.01559748635538,0.1,0.0,59.53885774850442,100.0,-9058.016,25.882081985473633,9058.016,524.41171875,82047650.0
1.044,2615.146979884138,5524.773166972787,55.17041987272936,0.1,0.05524160926894411,65.20520603886342,100.0,-9296.383,224.69891357421875,9296.383,-3384.83671875,86422740.0
1.048,2625.0942372349705,4993.485227687384,61.04176374376499,0.1,0.025172882950924416,78.76022792523736,100.0,-5959.2188,26.280498504638672,5959.2188,-5863.871875,35512290.0
1.052,2635.312417903558,4928.215377039047,61.84824214759729,0.1,0.056372537106704444,78.33345052219553,100.0,953.47656,27.208433151245117,953.47656,-5768.52421875,909117.56
1.056,2645.3638259910326,5227.467895526415,58.30922804622263,0.1,0.07417044053802385,84.63250026763218,100.0,8819.648,27.471908569335938,8819.648,-2908.0984375,77786200.0
1.06,2655.7640601412418,5504.609072500579,55.37542918353346,0.1,0.08992180423723538,86.29296345933628,100.0,13587.023,28.18760108947754,13587.023,1620.909375,184607200.0
