Time (s),Depth,PHI,Amplitude,Instantaneous_freq,Amplitude_abs,Amplitude_roll_mean,Amplitude_energy
1.444,2566.5639420657203,0.09314997483584168,-4296.535,15.194295883178711,4296.535,-5413.63359375,18460214.0
1.448,2576.5378509134503,0.050340174423249305,-2040.8535,19.65138816833496,2040.8535,-4597.291796875,4165083.0
1.452,2587.1952333852814,0.08164756723818949,2040.8545,23.48334312438965,2040.8545,-2964.6083984375,4165087.0
1.456,2597.577115840349,0.16360624134903642,6015.1484,25.91414451599121,6015.1484,-665.9623046875,36182012.0
1.46,2606.952886317721,0.13922979577599803,7196.6953,27.010761260986328,7196.6953,1783.0619140625,51792424.0
1.464,2616.8584388690615,0.17399325369068944,4833.6016,28.373825073242188,4833.6016,3609.0892578125,23363704.0
1.468,2626.5944301887403,0.17318886037750683,322.2412,30.2381649017334,322.2412,4081.708203125,103839.4
1.472,2636.171701122794,0.13399062021047636,-3114.9873,31.656715393066406,3114.9873,3050.53984375,9703146.0
1.476,2645.740696065412,0.04633373541127603,-3544.6406,215.83163452148438,3544.6406,1138.58203125,12564477.0
1.48,2654.9824086541553,0.051637754756488165,-1396.373,38.76955795288086,1396.373,-580.031640625,1949857.6
1.484,2664.8489672043347,0.10633803225936532,966.7217,43.718353271484375,966.7217,-1353.4076171875,934550.8
1.488,2674.8347438980245,0.2107407562834373,1611.2021,46.08372497558594,1611.2021,-1095.6154296875,2595972.2
1.492,2685.2216443247316,0.21756493297421142,537.0674,43.67497634887695,537.0674,-365.2044921875,288441.38
1.496,2695.8246707910616,0.06798981440270462,-859.30664,39.81697082519531,859.30664,171.8623046875,738407.9
1.5,2706.561552703705,0.05345249314721213,-1181.5469,211.15933227539062,1181.5469,214.8275390625,1396053.0
1.504,2717.0250063765834,0.10295085446266054,-322.23926,43.52739334106445,322.23926,-42.9646484375,103838.14
1.508,2726.3781353132395,0.0484462871461182,429.6543,68.21875,429.6543,-279.27421875,184602.81
1.512,2736.5605774618275,0.1205797888357321,0.0,73.76152801513672,0.0,-386.6876953125,0.0
1.516,2745.4859786956667,0.127324340869365,-1288.96,43.7763671875,1288.96,-472.618359375,1661417.8
1.52,2754.951047422782,0.1329207299123332,-1933.4404,214.4254913330078,1933.4404,-622.9970703125,3738192.0
1.524,2763.0855460274197,0.22442269862837755,-859.30664,33.59144592285156,859.30664,-730.410546875,738407.9
1.528,2773.07425193438,0.18394078242106437,1933.4424,34.37018966674805,1933.4424,-429.6529296875,3738199.5
1.532,2783.9332190184195,0.1003767263799444,4189.121,33.40312957763672,4189.121,408.1712890625,17548736.0
1.536,2794.6400900068443,0.05367522963655806,3974.296,31.85081672668457,3974.296,1460.8224609375,15795028.0
1.54,2804.3662813165647,0.23683718683448649,751.89453,32.13303756713867,751.89453,1997.889453125,565345.4
1.544,2814.1969398357473,0.14423879671517362,-3866.8809,31.732824325561523,3866.8809,1396.374609375,14952768.0
1.548,2824.627818612298,0.1148743864525407,-6767.043,30.49181365966797,6767.043,-343.7224609375,45792870.0
1.552,2834.7072846848655,0.247,-6015.1484,220.030029296875,6015.1484,-2384.5763671875,36182012.0
1.556,2843.3151706431695,0.17638293568426328,-1718.6133,29.183034896850586,1718.6133,-3523.158203125,2953631.5
1.56,2853.1182374175132,0.2469,3759.4697,28.36972427368164,3759.4697,-2921.6431640625,14133613.0
1.564,2863.0340777799024,0.17929222200924452,7518.9375,27.784854888916016,7518.9375,-644.4794921875,56534420.0
1.568,2872.269922014826,0.2469,7733.7617,26.62317657470703,7733.7617,2255.6814453125,59811070.0
1.572,2882.475228566224,0.11011562878497573,4726.1875,25.967683792114258,4726.1875,4403.9486328125,22336848.0
1.576,2892.6470728057197,0.2468,-107.41211,25.72553253173828,107.41211,4726.1888671875,11537.361
1.58,2903.0161109200026,0.13632839467839616,-4511.3594,25.09860610961914,4511.3594,3072.023046875,20352364.0
1.584,2912.3721278357125,0.2467,-6874.453,24.950225830078125,6874.453,193.344921875,47258104.0
1.588,2922.332806963535,0.15628701278989265,-6444.801,224.83702087402344,6444.801,-2642.367578125,41535456.0
1.592,2932.180986044698,0.12753028828025834,-3544.6406,25.844676971435547,3544.6406,-4296.533203125,12564477.0
1.596,2942.8771763496106,0.08051032596004476,537.0674,27.075321197509766,537.0674,-4167.6373046875,288441.38
1.6,2951.9528313334085,0.2466,3652.0557,28.19089126586914,3652.0557,-2534.954296875,13337511.0
1.604,2960.904089259018,0.06406691223677592,4296.535,30.045581817626953,4296.535,-300.756640625,18460214.0
1.608,2971.0718352938957,0.031658564734853935,2363.0947,33.32719802856445,2363.0947,1460.8224609375,5584216.5
1.612,2980.907749711632,0.2466,-537.0664,37.58309555053711,537.0664,2062.3373046875,288440.3
1.616,2991.281233379955,0.16281477780737502,-2255.6807,42.23160934448242,2255.6807,1503.7876953125,5088095.5
1.62,3001.799761393789,0.07431121449254603,-1718.6133,206.38833618164062,1718.6133,429.65390625,2953631.5
1.624,3011.5767259802797,0.1644785053890128,537.0674,39.39136505126953,537.0674,-322.2396484375,288441.38
1.628,3021.222226695748,0.0693110932169796,2470.5088,33.29169464111328,2470.5088,-300.7568359375,6103413.5
1.632,3031.26652432379,0.2462004270286439,2900.163,29.189477920532227,2900.163,386.6890625,8410946.0
1.636,3040.5721138244785,0.2464,1826.0283,26.396196365356445,1826.0283,1203.030859375,3334379.5
1.64,3050.785862596488,0.22039297684526737,429.6543,21.184289932250977,429.6543,1632.684375,184602.81
1.644,3061.329231178135,0.2463,-537.0664,16.442712783813477,537.0664,1417.8576171875,288440.3
