Time (s),Depth,Sonic_Velocity,AC,PHIT,R64,RD,TEMP,SW,Amplitude,Instantaneous_freq,Amplitude_abs,Amplitude_roll_mean,Amplitude_energy
1.284,2191.8395631123126,5051.977722639446,60.33531800508875,0.07615946627844057,53.25021114724759,28.45454363200464,95.9625077671446,1.0,-107.41211,33.21700668334961,107.41211,2534.95625,11537.361
1.288,2202.091473323909,5325.784976673482,57.231,0.03660620656311902,38.97010964360378,27.54382524710235,96.25335272639369,1.0,-3222.4014,35.777042388916016,3222.4014,1890.4759765625,10383871.0
1.292,2211.189190165296,4472.897255437507,68.14397685788994,0.17366757049589693,50.17303144880437,29.16107845534575,96.51139732462838,1.0,-3544.6406,210.11083984375,3544.6406,429.65390625,12564477.0
1.296,2220.4175144550113,4789.383102888795,63.6408537654534,0.19666445142523067,58.38152082235542,30.52049718052922,96.77319040474005,1.0,-644.4795,41.7078742980957,644.4795,-773.3755859375,415353.8
1.3,2229.609901891523,4436.342241817684,68.70608192447521,0.1557662789418337,62.857385354365555,45.92262860053811,97.03397725296294,1.0,3222.4033,39.704132080078125,3222.4033,-859.3060546875,10383883.0
1.304,2238.9230627742368,4684.103865483087,65.07650492726506,0.11594759702876872,77.65687468785893,50.69594119195265,97.29814575767837,1.0,5048.4297,36.70497512817383,5048.4297,171.8623046875,25486642.0
1.308,2247.9580461264363,4658.412793384149,65.4306040444602,0.1490672454136404,45.829121016884166,23.25292847044188,97.55442529154007,1.0,3007.5752,33.917213439941406,3007.5752,1417.8576171875,9045509.0
1.312,2256.826613771825,4549.796990685455,66.992,0.11678063473815894,39.59556724351508,23.364782939529253,97.80604518561097,1.0,-1718.6133,31.971757888793945,1718.6133,1783.0630859375,2953631.5
1.316,2265.8179759382174,4297.863543345776,70.92026822755741,0.1481651097138801,44.74808492722448,22.19752158729107,98.06110332626996,1.0,-6015.1484,31.40886116027832,6015.1484,708.929296875,36182012.0
1.32,2274.7831047993222,4330.392931910885,70.3881165534084,0.1810068560203864,37.50913712040773,15.281031342110857,98.31542693438097,1.0,-6659.629,218.77737426757812,6659.629,-1267.4771484375,44350656.0
1.324,2283.767712885347,4457.231649590464,68.38353847281535,0.19173185012143368,38.139367367503525,30.792496752320616,98.5702959607897,1.0,-3222.4014,31.27706527709961,3222.4014,-2921.643359375,10383871.0
1.328,2292.9535830457517,4425.265277021889,68.8773697389655,0.1593024445626407,39.390436570226996,25.865087528480355,98.8309003252809,1.0,1718.6152,32.2459602355957,1718.6152,-3179.4353515625,2953638.2
1.332,2302.249526531177,4483.1440842501615,67.988,0.14951704487763512,32.264202610810926,16.34673878059122,99.09458674287295,1.0,4618.7734,34.40251541137695,4618.7734,-1911.9580078125,21333068.0
1.336,2311.4696496981824,4713.722707008074,64.66239710062499,0.12387588953863006,35.99569977659864,31.87363299585118,99.35615019154899,1.0,3544.6436,38.27605438232422,3544.6436,0.000390625,12564498.0
1.34,2320.7366445280572,4690.749442870865,64.98023216749182,0.11580066415825035,46.04285850483713,37.74660352698009,99.61906269131369,1.0,-214.82617,42.936832427978516,214.82617,1288.9609375,46150.285
1.344,2330.0706720640924,4616.170310323793,66.03074364911319,0.13487800817964976,69.40792469743803,59.97298963191576,99.88384948985893,1.0,-3329.8145,44.114219665527344,3329.8145,1267.4783203125,11087664.0
1.348,2339.524998727372,4282.412485281844,71.17525507777319,0.16910006108599332,43.40051651867069,29.40423614111527,100.15202496309388,1.0,-3437.2275,209.6591339111328,3437.2275,236.309765625,11814533.0
1.352,2348.789796664025,4893.560482961927,62.28807013505466,0.08261230976985409,66.9599767434386,52.97071361385424,100.41490410325662,1.0,-322.23926,35.50821304321289,322.23926,-751.8927734375,103838.14
1.356,2358.038544160153,4568.608510260777,66.71629712128568,0.15458890322290264,59.633834100188736,31.337963114282367,100.67727923648442,1.0,3437.2295,30.95433235168457,3437.2295,-773.3755859375,11814547.0
1.36,2367.324782433879,4653.68874374426,65.49688191115,0.20570302582109,43.24046498837255,29.132,100.94069390814842,1.0,5370.668,27.835405349731445,5370.668,343.7232421875,28844074.0
1.364,2376.5467354850134,4798.177477433005,63.52552179958409,0.1810305805992247,44.474684132661245,42.047,101.20230859358054,1.0,4618.7734,25.778106689453125,4618.7734,1933.4408203125,21333068.0
