Time (s),Amplitude,Instantaneous_freq,Amplitude_abs,Amplitude_roll_mean,Amplitude_energy
4.009,-1504.8007812498663,18.619578123092133,1504.8007812498663,-2227.1047851561884,2264425.391250208
4.01,-1203.8408203125,17.448171138763428,1203.8408203125,-1865.9527832030813,1449232.720650673
4.011,-902.8808593748664,16.276764154433685,902.8808593748664,-1524.8647949218405,815193.8462254973
4.0120000000000005,-601.9208984373886,15.105357170103579,601.9208984373886,-1203.8408203124252,362308.7679756731
4.013,-476.52075195309715,13.527443408965715,476.52075195309715,-937.9928222655446,227072.02704194514
4.014,-351.1206054686943,11.949529647826449,351.1206054686943,-707.2567871093103,123285.67958470248
4.015,-225.72045898440285,10.371615886688584,225.72045898440285,-511.6327148436908,50949.72560412949
4.016,-100.3203125,8.793702125549316,100.3203125,-351.12060546871754,10064.165100097656
4.017,25.079589843805692,9.046511650085561,25.079589843805692,-225.72050781247867,628.9858267335217
4.018,150.4794921875,9.299321174621582,150.4794921875,-100.32045898435919,22644.077569007874
4.019,275.8793945313057,9.552130699157827,275.8793945313057,25.079541015640803,76109.44032695983
4.0200000000000005,401.2792968752673,9.804940223695656,401.2792968752673,150.47949218757483,161025.07410070888
4.021,702.2392578125668,11.840117692947839,702.2392578125668,310.99140625008823,493139.97521314473
4.022,1003.1992187501336,13.87529516220183,1003.1992187501336,506.6153320313538,1006408.6725008783
4.023,1304.1591796874332,15.910472631454017,1304.1591796874332,737.3512695313404,1700831.1659629985
4.024,1605.119140625,17.945650100708008,1605.119140625,1003.1992187500794,2576407.4556007385
4.025,2006.3991699220533,19.865406990052122,2006.3991699220533,1324.2231933594364,4025637.6290639043
4.026,2407.67919921875,21.78516387939453,2407.67919921875,1665.311181640673,5796919.126350641
4.027,2808.9592285158033,23.704920768738646,2808.9592285158033,2026.4631835938071,7890251.947464096
4.0280000000000005,3210.239257812589,25.624677658081705,3210.239257812589,2407.679199218838,10305636.092401123
4.029,3310.5593261718973,26.356519699096843,3310.5593261718973,2748.767236328217,10959803.052103726
4.03,3410.8793945312946,27.08836174011263,3410.8793945312946,3029.6632812500657,11634098.24403817
4.031,3511.1994628906027,27.820203781127766,3511.1994628906027,3250.3673339844368,12328521.668203257
4.032,3611.51953125,28.552045822143555,3611.51953125,3410.8793945312764,13043073.32460022
4.033,3134.9995117185385,28.955298423767267,3134.9995117185385,3395.831445312466,9828221.938475475
4.034,2658.4794921875,29.358551025390625,2658.4794921875,3265.415478515586,7067513.210381508
4.035,2181.959472656038,29.761803627014338,2181.959472656038,3019.6314941405353,4760947.140313416
4.0360000000000005,1705.4394531241758,30.165056228637823,1705.4394531241758,2658.47949218725,2908523.728272488
4.037,777.479492187294,30.308927536010774,777.479492187294,2091.671484374708,604474.3607718125
4.038,-150.480468750412,30.452798843383853,150.480468750412,1434.5754882809183,22644.371475343723
4.039,-1078.440429687294,30.596670150756804,1078.440429687294,687.1915039059593,1163033.7603841154
4.04,-2006.400390625,30.740541458129883,2006.400390625,-150.48046875024815,4025642.5275001526
4.041,-2808.9604492191065,30.675979614257784,2808.9604492191065,-1053.3604492189047,7890258.805277205
4.042,-3611.5205078125,30.611417770385742,3611.5205078125,-1931.1604492188635,13043080.378350258
4.043,-4414.0805664066065,30.546855926513643,4414.0805664066065,-2783.8804687501024,19484107.24672847
4.0440000000000005,-5216.640625000089,30.482294082683673,5216.640625000089,-3611.5205078126614,27213339.410401322
4.045,-5316.959960937522,77.84913206101515,5316.959960937522,-4273.632421875166,28270063.226212732
4.046,-5417.279296875045,125.21597003938871,5417.279296875045,-4795.2961914063535,29346914.98035098
4.047,-5517.598632812478,172.5828080177202,5517.598632812478,-5176.511816406349,30443894.672814127
4.048,-5617.91796875,219.94964599609375,5617.91796875,-5417.279296875027,31561002.303604126
4.049,-4940.758789062199,172.13267135617994,4940.758789062199,-5362.102929687449,24411097.411695365
4.05,-4263.599609375,124.3156967163086,4263.599609375,-5151.430859374946,18178281.629062653
4.051,-3586.440429687199,76.49872207639478,3586.440429687199,-4785.263085937376,12862554.9556949
4.0520000000000005,-2909.281249999109,28.681747436523157,2909.281249999109,-4263.599609374703,8463917.391596379
4.053,-1906.0810546872772,28.36760950088494,1906.0810546872772,-3521.232226562158,3633144.987037763
4.054,-902.8808593745543,28.053471565246443,902.8808593745543,-2713.656640624629,815193.8462249337
4.055,100.31933593727717,27.739333629608225,100.31933593727717,-1840.8728515621738,10063.969162896272
4.056,1103.51953125,27.425195693969727,1103.51953125,-902.8808593747337,1217755.3558502197
4.057,1931.1591796878674,27.264277458190847,1931.1591796878674,65.2072265626617,3729375.7772927172
4.058,2758.798828125,27.10335922241211,2758.798828125,998.1832031251172,7610970.974063873
4.059,3586.4384765628674,26.94244098663323,3586.4384765628674,1896.0470703126016,12862540.946170582
4.0600000000000005,4414.078125000267,26.781522750854315,4414.078125000267,2758.7988281251996,19484085.693605877
4.061,4715.038085937566,26.58249998092647,4715.038085937566,3481.1025390627124,22231584.15184179
4.062,5015.998046875134,26.383477210998446,5015.998046875134,4098.0703125001655,25160236.406255156
4.063,5316.958007812433,26.1844544410706,5316.958007812433,4609.702148437653,28270042.456840754
4.064,5617.91796875,25.985431671142578,5617.91796875,5015.998046875078,31561002.303604126
4.065,5342.038085937377,26.00608491897584,5342.038085937377,5201.590039062501,28537370.911605477
4.066,5066.158203125,26.026738166809082,5066.158203125,5271.814062499989,25665958.93909073
4.067,4790.278320312377,26.047391414642345,4790.278320312377,5226.6701171874365,22946766.38605477
4.0680000000000005,4514.398437499354,26.068044662475693,4514.398437499354,5066.158203124821,20379793.25249661
4.069,3787.0786132810886,26.188726902008085,3787.0786132810886,4699.990332031039,14341964.423171014
4.07,3059.758789062177,26.30940914154058,3059.758789062177,4243.534472655998,9362123.84724324
4.071,2332.4389648439114,26.43009138107297,2332.4389648439114,3696.790624999781,5440271.5247221375
4.072,1605.119140625,26.55077362060547,1605.119140625,3059.758789062306,2576407.4556007385
4.073,702.239257812099,26.856397628784315,702.239257812099,2297.3269531248543,493139.9752124877
4.074,-200.640625,27.16202163696289,200.640625,1499.7831054686364,40256.660400390625
4.075,-1103.520507812901,27.467645645141737,1103.520507812901,667.127246093621,1217757.511163643
4.0760000000000005,-2006.4003906256237,27.773269653320796,2006.4003906256237,-200.6406250002861,4025642.5275026555
4.077,-2708.640136718906,28.317323684692504,2708.640136718906,-1063.3924804690673,7336731.390244613
4.078,-3410.879882812812,28.861377716064695,3410.879882812812,-1886.0163085940494,11634101.574977143
4.079,-4113.119628906094,29.405431747436403,4113.119628906094,-2668.512109375268,16917753.081692602
4.08,-4815.359375,29.949485778808594,4815.359375,-3410.879882812688,23187685.91040039
4.081,-4865.519531250022,77.12516212465474,4865.519531250022,-3982.703710937568,23673280.308975432
4.082,-4915.6796875,124.30083847045898,4915.6796875,-4424.111621093786,24163906.790100098
